PLAY_ID,SONG_ID,CLIENT_ID,PLAY_TS
44BB190BC2493964E053CF0A000AB546,6164,1,9/8/2016 9:16
44BB190BC24A3964E053CF0A000AB546,544,3,10/8/2016 13:54
44BB190BC24B3964E053CF0A000AB546,9648,3,8/8/2016 6:08
44BB190BC24C3964E053CF0A000AB546,7565,2,10/8/2016 17:30
44BB190BC24D3964E053CF0A000AB546,8995,1,11/8/2016 2:40
44BB190BC24E3964E053CF0A000AB546,4407,1,8/8/2016 7:30
44BB190BC24F3964E053CF0A000AB546,5839,2,10/8/2016 2:40
44BB190BC2503964E053CF0A000AB546,548,3,9/8/2016 20:45
44BB190BC2513964E053CF0A000AB546,376,3,10/8/2016 4:57
44BB190BC2523964E053CF0A000AB546,3403,2,8/8/2016 21:14
44BB190BC2533964E053CF0A000AB546,7256,2,10/8/2016 6:29
44BB190BC2543964E053CF0A000AB546,4291,3,8/8/2016 9:26
44BB190BC2553964E053CF0A000AB546,5722,2,8/8/2016 23:33
44BB190BC2563964E053CF0A000AB546,9857,1,10/8/2016 22:05
44BB190BC2573964E053CF0A000AB546,3122,2,9/8/2016 8:35
44BB190BC2583964E053CF0A000AB546,217,2,10/8/2016 13:20
44BB190BC2593964E053CF0A000AB546,3022,1,10/8/2016 17:06
44BB190BC25A3964E053CF0A000AB546,9857,1,10/8/2016 15:06
44BB190BC25B3964E053CF0A000AB546,2168,3,11/8/2016 13:30
